Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1975","1975","million SLC","332951857.452989","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1976","1976","million SLC","369571606.780962","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1977","1977","million SLC","419693708.913661","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1978","1978","million SLC","427120297.896252","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1979","1979","million SLC","455812060.256314","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1980","1980","million SLC","439873503.122907","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1981","1981","million SLC","465374014.776393","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1982","1982","million SLC","503303297.666031","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1983","1983","million SLC","539002834.220943","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1984","1984","million SLC","584264325.295934","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1985","1985","million SLC","617097045.134772","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1986","1986","million SLC","637813630.128304","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1987","1987","million SLC","654070722.452383","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1988","1988","million SLC","687428435.475853","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1989","1989","million SLC","719654445.232835","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1990","1990","million SLC","756363405.472704","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1991","1991","million SLC","801449078.900597","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1992","1992","million SLC","870742684.93608","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1993","1993","million SLC","941035348.507748","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1994","1994","million SLC","1024213292.61023","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1995","1995","million SLC","1121928153.71809","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1996","1996","million SLC","1226716485.36819","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1997","1997","million SLC","1326714591.63079","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1998","1998","million SLC","1403191830.72132","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1999","1999","million SLC","1470163197.39618","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2000","2000","million SLC","1569965076.52182","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2001","2001","million SLC","1678214134.90025","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2002","2002","million SLC","1797028672.72891","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2003","2003","million SLC","1928952053.57999","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2004","2004","million SLC","2074325800.84292","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2005","2005","million SLC","2230880307.70234","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2006","2006","million SLC","2503296642.48782","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2007","2007","million SLC","2812957490.15814","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2008","2008","million SLC","3117617364.06463","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2009","2009","million SLC","3446644694.83357","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2010","2010","million SLC","3847466445.34047","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2011","2011","million SLC","4094210961.57274","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2012","2012","million SLC","4319578637.89262","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2013","2013","million SLC","4559466897.88298","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2014","2014","million SLC","4852286956.46139","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2015","2015","million SLC","5191323729.85015","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2016","2016","million SLC","5538623749.5366","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2017","2017","million SLC","5923014783.83402","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2018","2018","million SLC","6365168237.2431","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2019","2019","million SLC","6833597691.80453","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2020","2020","million SLC","7029408510.16049","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2021","2021","million SLC","7209471306.38316","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2022","2022","million SLC","7787655939.8979","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2023","2023","million SLC","8236458551.71422","E","Estimated value",""
